,Rank (Borda),Model,Zero-shot,Number of Parameters,Embedding Dimensions,Max Tokens,Mean (Task),Mean (TaskType),Bitext Mining,Classification,Clustering,Instruction Retrieval,Multilabel Classification,Pair Classification,Reranking,Retrieval,STS
48,49,[bge-large-en-v1.5](https://huggingface.co/BAAI/bge-large-en-v1.5),99,335M,1024,512,45.14,39.14,26.65,48.02,42.16,-2.29,17.67,72.04,48.84,39,60.14
49,50,[LLM2Vec-Mistral-7B-Instruct-v2-mntp-supervised](https://huggingface.co/McGill-NLP/LLM2Vec-Mistral-7B-Instruct-v2-mntp-supervised),98,7B,4096,32768,,,,57.24,42.2,-0.85,,76.8,55.46,43.07,67.87
50,51,[Arabic-MiniLM-L12-v2-all-nli-triplet](https://huggingface.co/Omartificial-Intelligence-Space/Arabic-MiniLM-L12-v2-all-nli-triplet),100,117M,384,512,49.73,43.23,48.68,53.1,38.61,-1.19,14.91,79.57,51.13,35.06,69.24
51,52,[paraphrase-multilingual-MiniLM-L12-v2](https://huggingface.co/sentence-transformers/paraphrase-multilingual-MiniLM-L12-v2),100,118M,768,512,48.78,42.48,44.56,51.66,39.34,-1.31,14.93,78.99,50.97,36.61,66.58
52,53,[gte-large](https://huggingface.co/thenlper/gte-large),-1,335M,1024,512,45.28,39.44,26.23,47.61,42.14,-1.29,17.91,71.74,48.87,38.23,63.47
53,54,[nomic-embed-text-v1-unsupervised](https://huggingface.co/nomic-ai/nomic-embed-text-v1-unsupervised),96,Unknown,768,8192,45.65,39.28,27.41,49,39.93,-2.15,16.38,71.7,48.18,40.66,62.43
54,55,[GIST-Embedding-v0](https://huggingface.co/avsolatorio/GIST-Embedding-v0),96,109M,768,512,45.07,38.64,24.38,47.88,42.94,-3.35,16.71,71.7,45.64,38.45,63.41
55,56,[STS-multilingual-mpnet-base-v2](https://huggingface.co/Gameselo/STS-multilingual-mpnet-base-v2),84,278M,768,514,48.55,42.51,47.63,51.02,33.56,-1.96,16.63,78.71,50.01,34.66,72.37
56,57,[stella-base-en-v2](https://huggingface.co/infgrad/stella-base-en-v2),-1,Unknown,Unknown,512,44.73,38.07,25.09,48.64,42.16,-3.27,15.82,71.74,43.86,35.28,63.31
57,58,[e5-base-4k](https://huggingface.co/dwzhu/e5-base-4k),100,Unknown,Unknown,4096,45.08,38.14,27.86,50.17,38.86,-2.92,15.71,72.93,42.47,36.78,61.38
58,59,[NoInstruct-small-Embedding-v0](https://huggingface.co/avsolatorio/NoInstruct-small-Embedding-v0),-1,33M,384,512,44.95,38.23,23.12,49.21,41.52,-2.53,16.9,71.73,43.59,37.81,62.7
59,60,[mmlw-e5-base](https://huggingface.co/sdadas/mmlw-e5-base),99,278M,768,514,44.22,36.44,23.55,52.28,42.82,-3.32,16.01,72.39,36.07,30.79,57.37
60,61,[bge-base-en-v1.5](https://huggingface.co/BAAI/bge-base-en-v1.5),99,109M,768,512,44.58,38.21,23.67,47.99,42.05,-3.98,16.37,71.69,47.57,38.61,59.97
61,62,[nomic-embed-text-v1.5](https://huggingface.co/nomic-ai/nomic-embed-text-v1.5),96,137M,768,8192,44.17,37.93,27.09,48.51,40.52,-1.85,16.79,71.9,44.84,34.09,59.45
62,63,[GIST-small-Embedding-v0](https://huggingface.co/avsolatorio/GIST-small-Embedding-v0),96,33M,384,512,44.27,37.87,23.36,47.57,41.11,-2.75,16.79,71.54,43.25,37.22,62.71
63,64,[mmlw-roberta-large](https://huggingface.co/sdadas/mmlw-roberta-large),100,434M,1024,514,42.61,35.8,25.25,48.39,41.87,-3.58,16.8,73.86,35.94,31.75,51.93
64,65,[e5-small-v2](https://huggingface.co/intfloat/e5-small-v2),100,33M,384,512,44.49,38.03,28.04,48.07,38.06,-2.85,15.14,72.13,44.44,39.38,59.87
65,66,[e5-base](https://huggingface.co/intfloat/e5-base),100,109M,768,512,44.6,38.04,29.55,47.77,39.43,-3.49,16.14,71.82,41.49,37.69,61.94
66,67,[gte-base](https://huggingface.co/thenlper/gte-base),-1,109M,768,512,44.46,38.39,25.3,47.19,42.11,-2.45,16.15,71.37,46.94,35.86,63.09
67,68,[text2vec-base-multilingual](https://huggingface.co/shibing624/text2vec-base-chinese-paraphrase),100,118M,384,256,45.92,39.59,39.5,49.82,36.32,-3.97,14.22,77.8,46.33,26.99,69.32
68,69,[static-similarity-mrl-multilingual-v1](https://huggingface.co/sentence-transformers/static-similarity-mrl-multilingual-v1),99,108M,1024,Unknown,47.28,41.52,50.62,48.6,31.96,-1.24,14.74,74.34,49.45,41.21,64.02
69,70,[sentence_croissant_alpha_v0.3](https://huggingface.co/manu/sentence_croissant_alpha_v0.3),97,1B,2048,2048,45.74,39.69,31.88,49.58,39.94,-1.19,15.65,72.97,51.45,37.27,59.68
70,71,[sentence_croissant_alpha_v0.4](https://huggingface.co/manu/sentence_croissant_alpha_v0.4),97,1B,2048,2048,45.5,39.6,30.26,49.25,40.86,-0.08,16.06,72.54,51.37,38.35,57.75
71,72,[sentence_croissant_alpha_v0.2](https://huggingface.co/manu/sentence_croissant_alpha_v0.2),97,1B,2048,2048,45.53,39.45,32.22,49.88,40.84,-0.35,15.32,72.25,50.93,36.48,57.48
72,73,[bge-small-en-v1.5](https://huggingface.co/BAAI/bge-small-en-v1.5),99,33M,512,512,43.81,37.79,23.63,47.37,40.55,-1.86,17.01,71.56,45.89,36.26,59.73
73,74,[gte-small](https://huggingface.co/thenlper/gte-small),-1,33M,384,512,44.15,38.09,23.94,47.28,40.9,-1.57,16.27,71.44,45.77,35.99,62.77
74,75,[mmlw-e5-small](https://huggingface.co/sdadas/mmlw-e5-small),99,117M,384,512,43.18,35.65,21.19,50.72,41.62,-4.4,16.59,73.71,34.88,31.05,55.46
75,76,[granite-embedding-125m-english](https://huggingface.co/ibm-granite/granite-embedding-125m-english),96,125M,768,512,44.1,38.17,26.56,46.98,41.11,-1.29,16.84,70.97,45.99,39.26,57.08
76,77,[MedEmbed-small-v0.1](https://huggingface.co/abhinand/MedEmbed-small-v0.1),98,33M,384,512,43.4,37.34,22.96,47.34,40.87,-1.68,16.74,71.33,45.01,35.16,58.33
77,78,[e5-small](https://huggingface.co/intfloat/e5-small),100,33M,384,512,43.49,37.25,28.07,46.57,36.98,-1.45,15.22,72.96,39.3,36.25,61.37
78,79,[mmlw-roberta-base](https://huggingface.co/sdadas/mmlw-roberta-base),100,124M,768,514,41.59,34.78,23.4,47.44,40.85,-3.44,15.03,73.24,34.44,30.39,51.69
79,80,[snowflake-arctic-embed-l](https://huggingface.co/Snowflake/snowflake-arctic-embed-l),100,335M,1024,512,43.4,37.24,22.56,47.11,39.79,-1.49,16.02,71.58,44.27,39.66,55.64
80,81,[Ivysaur](https://huggingface.co/Mihaiii/Ivysaur),-1,22M,384,512,43.57,37.13,22.85,48.44,38.13,-2.22,15.63,71.53,44.07,34.42,61.32
81,82,[snowflake-arctic-embed-m-long](https://huggingface.co/Snowflake/snowflake-arctic-embed-m-long),96,137M,768,2048,43.29,36.97,22.76,47.07,39,-1.89,16.32,71.67,41.66,39.3,56.87
82,83,[sgpt-bloom-7b1-msmarco](https://huggingface.co/bigscience/sgpt-bloom-7b1-msmarco),-1,Unknown,4096,Unknown,44.58,37.1,29.88,53.07,32.56,-3.02,13.26,72.35,43.5,35.27,57.04
83,84,[GIST-all-MiniLM-L6-v2](https://huggingface.co/avsolatorio/GIST-all-MiniLM-L6-v2),96,22M,384,512,42.74,36.54,22.75,46.49,38.9,-1.94,15.05,71.31,41.45,33.3,61.52
84,85,[LaBSE-ru-turbo](https://huggingface.co/sergeyzh/LaBSE-ru-turbo),100,129M,768,512,44.67,39.2,53.59,46.78,37.08,-3.52,17.9,74.25,42.81,31.8,52.06
85,86,[all-mpnet-base-v2](https://huggingface.co/sentence-transformers/all-mpnet-base-v2),100,109M,768,384,42.53,36.19,21.16,47.23,40.77,-3.08,16.28,70.69,42.23,32.81,57.6
86,87,[snowflake-arctic-embed-m](https://huggingface.co/Snowflake/snowflake-arctic-embed-m),100,109M,768,512,42.91,36.53,22.04,46.9,39.12,-2.34,14.85,70.88,42.76,39.33,55.25
87,88,[embedder-100p](https://huggingface.co/deepfile/embedder-100p),-1,Unknown,768,514,,,26.73,,42.66,-2.76,15.5,,38.13,,
88,89,[snowflake-arctic-embed-s](https://huggingface.co/Snowflake/snowflake-arctic-embed-s),100,32M,384,512,42.89,36.41,22.78,46.33,37.39,-3.09,14.84,71.53,40.03,39.84,58.08
89,90,[all-MiniLM-L12-v2](https://huggingface.co/sentence-transformers/all-MiniLM-L12-v2),100,33M,384,256,42.21,36.24,22.91,47.09,36.84,-0.75,14.59,71.43,44.33,32.5,57.2
90,91,[gte-micro-v4](https://huggingface.co/Mihaiii/gte-micro-v4),-1,19M,384,512,41.57,34.73,20.46,47.97,36.53,-3.83,14.69,71.73,37.48,30.54,57.01
91,92,[LaBSE-en-ru](https://huggingface.co/cointegrated/LaBSE-en-ru),100,129M,768,512,43.25,38.17,59.29,45.54,36.39,-3.69,18.81,72.38,40.87,27.15,46.77
92,93,[snowflake-arctic-embed-m-v1.5](https://huggingface.co/Snowflake/snowflake-arctic-embed-m-v1.5),100,109M,768,512,42.04,35.63,20.11,46.99,38.2,-3.42,15.78,70.47,42.37,38.69,51.51
93,94,[Bulbasaur](https://huggingface.co/Mihaiii/Bulbasaur),-1,17M,384,512,41.74,35.07,20.45,47.83,35.65,-3.22,14.37,71.94,39.06,29.88,59.72
94,95,[granite-embedding-30m-english](https://huggingface.co/ibm-granite/granite-embedding-30m-english),96,30M,384,512,42.54,36.38,25.26,46.28,38.99,-2.75,15.39,70.26,42.53,36.43,55.06
95,96,[udever-bloom-7b1](https://huggingface.co/izhx/udever-bloom-7b1),100,Unknown,Unknown,Unknown,,,18.6,,,-1.32,,73.3,,,
96,97,[gemma-2b-embeddings](https://huggingface.co/Jaume/gemma-2b-embeddings),100,2B,2048,8192,37.42,29.69,4.23,54.57,40.19,0.74,16.21,67.8,33.66,13.05,36.78
97,98,[LLM2Vec-Mistral-7B-Instruct-v2-mntp-unsup-simcse](https://huggingface.co/McGill-NLP/LLM2Vec-Mistral-7B-Instruct-v2-mntp-unsup-simcse),100,7B,4096,32768,,,,54.67,39.21,-1.09,,72.41,44.12,30.57,58.87
98,99,[udever-bloom-1b1](https://huggingface.co/izhx/udever-bloom-1b1),100,Unknown,Unknown,Unknown,,,20.47,,,-1.1,,72.83,37.02,,
99,100,[KartonBERT-USE-base-v1](https://huggingface.co/OrlikB/KartonBERT-USE-base-v1),-1,103M,768,512,42.16,35.75,36.52,46.28,35.99,-3.66,16.4,72.85,33.37,35.42,48.61
100,101,[udever-bloom-3b](https://huggingface.co/izhx/udever-bloom-3b),100,Unknown,Unknown,Unknown,,,13.79,,,-0.75,,72.9,35.72,,
101,102,[slx-v0.1](https://huggingface.co/brahmairesearch/slx-v0.1),-1,22M,384,512,41.46,35.22,20.09,46.12,38.43,-2.84,15.05,71.23,40.28,32.51,56.08
102,103,[all-MiniLM-L6-v2](https://huggingface.co/sentence-transformers/all-MiniLM-L6-v2),100,22M,384,256,41.43,35.18,20.09,46.2,38.04,-2.84,15.05,71.23,40.28,32.51,56.08
103,104,[Wartortle](https://huggingface.co/Mihaiii/Wartortle),99,17M,384,512,40.86,34.67,19.75,46.55,35.28,-1.54,14.01,71.23,39.59,27.21,59.97
104,105,[USER-base](https://huggingface.co/deepvk/USER-base),98,427M,768,512,42.21,37.03,44.81,45.67,33.73,-1.96,17.55,74.07,40.97,27.22,51.24
105,106,[ru-en-RoSBERTa](https://huggingface.co/ai-forever/ru-en-RoSBERTa),98,404M,1024,512,41.63,35.77,22.34,46.78,36.67,-3.53,16.95,71.46,45.58,32.68,52.97
106,107,[Venusaur](https://huggingface.co/Mihaiii/Venusaur),-1,15M,384,512,39.98,33.56,19.16,47.66,32.85,-1.47,13.52,71.27,38.31,25.64,55.11
107,108,[snowflake-arctic-embed-xs](https://huggingface.co/Snowflake/snowflake-arctic-embed-xs),100,22M,384,512,41.15,34.96,20.12,45.21,35.89,-2.36,13.35,71.04,39.69,35.23,56.43
108,109,[jina-embedding-b-en-v1](https://huggingface.co/jinaai/jina-embedding-b-en-v1),100,110M,768,512,40.43,34.96,26.33,42.3,34.42,-4.32,14.63,71.63,40.37,35.4,53.92
