,Rank (Borda),Model,Zero-shot,Number of Parameters,Embedding Dimensions,Max Tokens,Mean (Task),Mean (TaskType),Bitext Mining,Classification,Clustering,Instruction Retrieval,Multilabel Classification,Pair Classification,Reranking,Retrieval,STS
140,141,[mini-gte](https://huggingface.co/prdev/mini-gte),100,66M,768,512,,,,,,,,,,,
141,142,[inf-retriever-v1-1.5b](https://huggingface.co/infly/inf-retriever-v1-1.5b),96,1B,1536,32768,,,,,,,,,,62.96,
142,143,[SONAR](https://ai.meta.com/research/publications/sonar-sentence-level-multimodal-and-language-agnostic-representations/),100,Unknown,1024,512,,,,,,,,,,,
143,144,[sentence-t5-xl](https://huggingface.co/sentence-transformers/sentence-t5-xl),100,3B,768,512,,,,,,,,,,,
144,145,[sentence-t5-xxl](https://huggingface.co/sentence-transformers/sentence-t5-xxl),100,11B,768,512,,,,,,,,,,,
145,146,[sentence-t5-large](https://huggingface.co/sentence-transformers/sentence-t5-large),100,335M,768,512,,,,,,,,,,,
146,147,[LENS-d8000](https://huggingface.co/yibinlei/LENS-d8000),94,7B,8000,32768,,,,,,,,,,,
147,148,[LENS-d4000](https://huggingface.co/yibinlei/LENS-d4000),94,7B,4000,32768,,,,,,,,,,,
148,149,[bge-en-icl](https://huggingface.co/BAAI/bge-en-icl),93,7B,4096,32768,,,,,,,,,,,
149,150,[bge-large-en](https://huggingface.co/BAAI/bge-large-en),99,335M,1024,512,,,,,,-2.37,,,,,
150,151,[Zeta-Alpha-E5-Mistral](https://huggingface.co/zeta-alpha-ai/Zeta-Alpha-E5-Mistral),95,7B,4096,32768,,,,,,,,,,,
151,152,[gme-Qwen2-VL-7B-Instruct](https://huggingface.co/Alibaba-NLP/gme-Qwen2-VL-2B-Instruct),100,8B,3584,32768,,,,,,,,,,,
152,153,[gme-Qwen2-VL-2B-Instruct](https://huggingface.co/Alibaba-NLP/gme-Qwen2-VL-2B-Instruct),100,2B,1536,32768,,,,,,,,,,,
153,154,[bge-base-en](https://huggingface.co/BAAI/bge-base-en),99,109M,768,512,,,,,,-3.11,,,,,
154,155,[cde-small-v2](https://huggingface.co/jxm/cde-small-v1),94,306M,768,512,,,,,,,,,,,
155,156,[mxbai-embed-2d-large-v1](https://huggingface.co/mixedbread-ai/mxbai-embed-2d-large-v1),100,335M,768,512,,,,,,,,,,,
156,157,[LLM2Vec-Meta-Llama-3-8B-Instruct-mntp-supervised](https://huggingface.co/McGill-NLP/LLM2Vec-Meta-Llama-3-8B-Instruct-mntp-supervised),98,7B,4096,8192,,,,,,,,,,,
157,158,[ember-v1](https://huggingface.co/llmrails/ember-v1),-1,335M,1024,512,,,,,,,,,,,
158,159,[sentence-t5-base](https://huggingface.co/sentence-transformers/sentence-t5-base),100,110M,768,512,,,,,,,,,,,
159,160,[LLM2Vec-Sheared-LLaMA-mntp-supervised](https://huggingface.co/McGill-NLP/LLM2Vec-Sheared-LLaMA-mntp-supervised),98,7B,4096,32768,,,,,,,,,,,
160,161,[Giga-Embeddings-instruct](https://huggingface.co/ai-sage/Giga-Embeddings-instruct),-1,2B,2048,32768,,,,,,,,,,,
161,162,[gte-modernbert-base](https://huggingface.co/Alibaba-NLP/gte-modernbert-base),99,149M,768,8192,,,,,,,,,,,
162,163,[cde-small-v1](https://huggingface.co/jxm/cde-small-v1),94,281M,768,512,,,,,,,,,,,
163,164,[gte-base-en-v1.5](https://huggingface.co/Alibaba-NLP/gte-base-en-v1.5),-1,137M,768,8192,,,,,,,,,,,
164,165,[inf-retriever-v1](https://huggingface.co/infly/inf-retriever-v1),96,7B,3584,32768,,,,,,,,,,,
165,166,[modernbert-embed-base](https://huggingface.co/nomic-ai/modernbert-embed-base),96,149M,768,8192,,,,,,,,,,,
166,167,[static-retrieval-mrl-en-v1](https://huggingface.co/sentence-transformers/static-retrieval-mrl-en-v1),99,31M,1024,Unknown,,,,,,,,,,,
167,168,[bge-small-en](https://huggingface.co/BAAI/bge-small-en),99,33M,512,512,,,,,,,,,,,
